n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
30,10,0.3333333333333333,1,43,860,900,48,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,49,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,50,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,51,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,52,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,53,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,54,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,55,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,56,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,57,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,58,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,59,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,60,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,61,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,62,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,63,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,64,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,65,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,66,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,67,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,68,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,69,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,70,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,71,pkp_derived,860,900,0,40,0,0
