n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
32,16,0.5,1,61,976,1024,47,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,48,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,49,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,50,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,51,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,52,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,53,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,54,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,55,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,56,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,57,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,58,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,59,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,60,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,61,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,62,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,63,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,64,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,65,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,66,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,67,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,68,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,69,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,70,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,71,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,72,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,73,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,74,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,75,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,76,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,77,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,78,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,79,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,80,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,81,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,82,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,83,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,84,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,85,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,86,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,87,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,88,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,89,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,90,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,91,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,92,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,93,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,94,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,95,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,96,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,97,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,98,pkp_derived,976,1024,0,48,0,0
32,16,0.5,1,61,976,1024,99,pkp_derived,976,1024,0,48,0,0
48,24,0.5,1,93,2232,2304,0,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,1,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,2,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,3,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,4,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,5,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,6,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,7,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,8,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,9,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,10,pkp_derived,2232,2304,0,72,0,0
48,24,0.5,1,93,2232,2304,11,pkp_derived,2232,2304,0,72,0,0
