N,K,codimension,nu,ell,log2_expected_solutions,kmp_log2,esser_santini_log2_exact_two_size,esser_santini_log2_smooth,psd_log2_exact_padded,psd_log2_asymptotic
131,63,68,11,1,-10.77125984638883,310.63700056276696,562.0658304226449,561.6135908790259,498.2714868579724,492.7636889825712
132,64,68,11,1,-3.7268657270302583,314.5856329230598,569.0744405825159,568.5805653253767,502.60163545966486,498.82790981194705
133,64,69,11,1,-7.671583291529146,315.71528074706134,573.6476637201183,573.1854411539157,507.7273072230573,503.19393481822
134,65,69,11,1,-0.6054941010715993,320.3530253818841,580.6780509257627,580.1747101164391,511.7230070856235,509.2798507186948
135,65,70,11,1,-4.528678504020718,321.1893513113971,585.2728879775436,584.8007236376975,516.7002870091235,513.6674088865176
136,65,71,11,1,-8.441215662770333,322.08035008494966,589.8784117569877,589.4440952111652,522.8872855239248,518.0656142985398
137,66,71,11,1,-1.3431835798098746,328.24825868854583,596.9408603184947,596.4587936834926,525.2710720892192,524.1834730915175
138,66,72,11,1,-5.234659123031747,328.914030009149,601.5675229595502,601.1227570434104,533.7719139687761,528.6027401190676
139,66,73,11,1,-9.115718050308033,329.5965861000087,606.2046400039904,605.8035465209581,538.6278206356659,533.0324237625632
140,67,73,11,1,-1.9864350333632501,336.0989583427682,613.2984528736794,612.8432902500772,543.8502130570023,539.1815334895251
141,67,74,11,1,-5.846883680964311,336.940888249264,617.9562541608741,617.5441552443011,548.5747269101223,543.631827412696
142,67,75,11,1,-9.697136561459615,337.7721549233539,622.6242874135692,622.2613466536185,550.9171191075693,548.0923171029726
143,68,75,11,1,-2.5372652246813914,344.0190072956672,629.7487972091751,629.3257593883523,557.9774547707966,554.2720151497681
144,68,76,11,1,-6.367340223239012,344.68724655329413,634.4370792288186,634.0625371990159,563.6619529450688,558.7526827219823
145,68,77,11,1,-10.187431133224095,345.3732567125785,639.1353800445512,638.8151710982343,567.8418620350838,563.243334382769
146,69,77,11,1,-2.9976065743438767,350.55562939482434,646.2899471948292,645.9038846938224,575.031686593964,569.4529856516665
147,69,78,11,1,-6.797934229507632,351.7202336949547,651.0080792605527,650.6756408301462,579.2313589388002,573.9634005672747
148,69,79,11,1,-10.588480863878658,352.8863703540525,655.7360256539517,655.4628095752591,579.5339217088206,578.4835965036755
149,70,79,11,1,-3.3693123434165955,356.81794423935804,662.9200366956902,662.5754640324454,589.7530902292827,584.7225917341548
150,70,80,11,1,-7.140493652920554,357.85492631819875,667.6674136924705,667.381313838177,591.1745539977212,589.2621529954228
151,70,81,11,1,-10.902088913595549,358.9270441852405,672.4244087274354,672.2021573721194,597.4129587370462,593.8113003055196
152,71,81,11,1,-3.6541614001519065,364.0391552229289,679.6372747387346,679.3384008238454,604.6608862504897,600.0790545289806
153,71,82,11,1,-7.396773557459369,364.82752080557395,684.4133155985454,684.1775054739858,607.3333115924612,604.6471849424449
154,72,82,11,1,-0.12998701676428936,371.50698625229535,691.6451025395456,691.3335601528279,616.6000981331563,610.9337981931573
155,72,83,11,1,-3.8538626114902854,372.1409905853523,696.4399410612979,696.1906962234425,619.8762225384303,615.5206651692031
156,72,84,11,1,-7.568460392627912,372.7843301718551,701.2440873575619,701.0622591450918,622.2547341616842,620.1168099588374
157,73,84,11,1,-0.2738396437363235,379.3287417475266,708.5037983969976,708.2412383376308,631.1343174112969,626.4312574177462
158,73,85,11,1,-3.9700588955594185,380.0882995827281,713.3263820042546,713.1304420878037,631.045780736695,631.045780736695
159,73,86,11,1,-7.657175940274897,380.8923309458841,718.158096653745,718.0337057500969,640.1660186140371,635.6694062627514
160,74,86,11,1,-0.3352478453875847,387.50677562294265,725.4452015514715,725.2352831264028,645.6805917868669,642.011161067656
